Parameter	HbT_mu	HbT_mu_star	HbT_sigma	HbT_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf	HbD_mu	HbD_mu_star	HbD_sigma	HbD_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	0.0	0.0	0.0	0.0	-1.6611712005953906e-16	5.247191570134646e-16	1.561809354881498e-15	2.815041887577645e-16	0.0	0.0	0.0	0.0	-1.7930101847696278e-16	5.168088179630104e-16	1.7096009966686809e-15	3.2282774575255065e-16	0.0	0.0	0.0	0.0
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-0.09119956807740141	0.17551772896433082	0.7540330968184692	0.1421535093547148	0.12875840242300252	0.44903560265709985	2.510636101482383	0.4747355949609734	-0.0270532742190809	0.08463949581205871	0.3415409717376325	0.06462250229402458	-0.2581197594559674	1.540937403702882	6.781922330395588	1.2580395789158039	-0.268625319582487	0.9002133367651445	4.084862018849566	0.8214996939033785
C_buffi	0.05229052627938142	0.06308464432981857	0.4110992540905785	0.07948466669880223	0.043603023688897305	0.08706069418534793	0.5112160112115022	0.09624705981446356	-0.006202385802421542	0.04261282879941624	0.2951511614019876	0.05710768276911262	0.0491945193847398	0.45248995919423274	2.634388442211831	0.4979540638617973	-0.04049664478111731	0.2597363794098017	1.6604430298505213	0.3135800963102464
C_im	-1.125155580561979	2.5977994391474244	19.036381968985726	3.6537897491949454	-0.09363824989487884	0.17621548105529147	0.7398093348008405	0.1432142393815023	-16.799177166040366	16.867117546911107	162.92859878357976	32.705041429175964	-18.284663170894504	19.981703585526976	165.55463504513406	31.276694601233118	-0.26669217439728143	0.3409314057882311	1.6488108335858327	0.31846381569553717
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
