Parameter	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	-1.0474073440531058	1.0474140486258643	10.474107302063201	2.0101137338500608	-0.02038977602620554	0.020396049717076124	0.2039294479817182	0.04012616455176355	-1.0158935327877707	1.015893966530254	10.158937518496549	2.0475872883121014	-0.011124035239129375	0.011124035239129375	0.11124033794384258	0.021500701309925367
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.36422450500380293	0.36422450500380293	3.642245050038016	0.7250380928713469	0.0014380887018911395	0.0014380887018911395	0.014380887018911352	0.002668298077586509	0.33940615450003014	0.33940615450003014	3.394061545000311	0.6926188001946243	0.023380261801881654	0.023380261801881654	0.23380261801881733	0.04703675171729508
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-0.9010749391941542	3.8805923435257608	20.187812063594688	3.846823532361438	-0.10684163782056119	1.6360077961160975	7.043414777841277	1.2825703583379546	0.3857352983096819	0.5385341142597949	4.273931883384945	0.8219199164448018	-1.179968599683274	1.8344019776418532	15.152737861781056	2.9393804110453767
C_buffi	1.5010193280989115	1.501029839861336	14.354466237782201	2.796028000079898	1.2496577573352545	1.2496649708664158	12.27630139783594	2.3253264463030514	0.14138893994545415	0.14139138033529203	1.2135101448801915	0.23135362485212171	0.10997263081820244	0.10997589803406572	0.8994094552724323	0.1688142290071968
C_im	15.91949214255536	17.765434958865768	132.64929069984072	26.004159391320275	-0.4274284825223891	0.6281643131339865	4.053165277831469	0.8019152995595913	10.762003992468145	11.119629884947008	109.4165900517425	21.80508099546729	5.584916632609609	6.070194178777134	34.12156190436536	6.811004865939947
C_NADH	-0.42006145794493527	0.42006145794493527	4.200614579449354	0.7931246957297444	-0.2332744170108349	0.2332744170108349	2.332744170108349	0.47315810737206954	-0.17893097500935012	0.17893097500935012	1.7893097500935005	0.3480526090893993	-0.00785606592475024	0.00785606592475024	0.07856065924750245	0.01539698203274773
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
